date,track,artist,streams,day_of_week,week_of_year
2017-11-16,All I Want for Christmas Is You,Mariah Carey,3821572,Thursday,46
2017-11-23,All I Want for Christmas Is You,Mariah Carey,6130250,Thursday,47
2017-11-23,Last Christmas,Wham!,4040197,Thursday,47
2017-11-30,All I Want for Christmas Is You,Mariah Carey,11641888,Thursday,48
2017-11-30,It's Beginning to Look a Lot Like Christmas,Michael Bublé,4577042,Thursday,48
2017-11-30,Last Christmas,Wham!,7133652,Thursday,48
2017-11-30,Rockin' Around the Christmas Tree,Brenda Lee,4423222,Thursday,48
2017-11-30,Santa Tell Me,Ariana Grande,4221612,Thursday,48
2017-12-07,All I Want for Christmas Is You,Mariah Carey,19808428,Thursday,49
2017-12-07,Feliz Navidad,José Feliciano,4780300,Thursday,49
2017-12-07,It's Beginning to Look a Lot Like Christmas,Michael Bublé,8172327,Thursday,49
2017-12-07,Last Christmas,Wham!,13594807,Thursday,49
2017-12-07,Rockin' Around the Christmas Tree,Brenda Lee,6903809,Thursday,49
2017-12-07,Santa Tell Me,Ariana Grande,7521462,Thursday,49
2017-12-14,All I Want for Christmas Is You,Mariah Carey,21535828,Thursday,50
2017-12-14,Feliz Navidad,José Feliciano,5436759,Thursday,50
2017-12-14,It's Beginning to Look a Lot Like Christmas,Michael Bublé,9148642,Thursday,50
2017-12-14,Last Christmas,Wham!,14990547,Thursday,50
2017-12-14,Rockin' Around the Christmas Tree,Brenda Lee,7888911,Thursday,50
2017-12-14,Santa Tell Me,Ariana Grande,8590324,Thursday,50
2017-12-21,All I Want for Christmas Is You,Mariah Carey,23318198,Thursday,51
2017-12-21,Feliz Navidad,José Feliciano,6030397,Thursday,51
2017-12-21,It's Beginning to Look a Lot Like Christmas,Michael Bublé,10104650,Thursday,51
2017-12-21,Jingle Bell Rock,Bobby Helms,6469998,Thursday,51
2017-12-21,Last Christmas,Wham!,16218650,Thursday,51
2017-12-21,Rockin' Around the Christmas Tree,Brenda Lee,8760279,Thursday,51
2017-12-21,Santa Tell Me,Ariana Grande,8712246,Thursday,51
2017-12-28,All I Want for Christmas Is You,Mariah Carey,27628914,Thursday,52
2017-12-28,Feliz Navidad,José Feliciano,9296091,Thursday,52
2017-12-28,It's Beginning to Look a Lot Like Christmas,Michael Bublé,13357262,Thursday,52
2017-12-28,Jingle Bell Rock,Bobby Helms,9781597,Thursday,52
2017-12-28,Last Christmas,Wham!,21543828,Thursday,52
2017-12-28,Rockin' Around the Christmas Tree,Brenda Lee,11900150,Thursday,52
2017-12-28,Santa Tell Me,Ariana Grande,11977857,Thursday,52
2018-11-15,All I Want for Christmas Is You,Mariah Carey,5967226,Thursday,46
